id,name,desc
per-eriksson,Per Eriksson,"football anfallare (born 1962), Djurgårdens IF player 1962–1984"
peter-eriksson,Peter Eriksson,"football försvarare (born 1962), Djurgårdens IF player 1983–1984"
rickard-eriksson,Rickard Eriksson,"football player (born 1924), Djurgårdens IF player 1955–1961"
robert-eriksson,Robert Eriksson,"football anfallare (born 1968), Djurgårdens IF player 1968–1992"
rune-eriksson,Rune Eriksson,football player (born )
stig-eriksson,Stig Eriksson,"football ytter (born 1928), Djurgårdens IF player 1928–1951"
thomas-eriksson,Thomas Eriksson,"football back (born 1959), Djurgårdens IF player 1992–1993"
tomaz-eriksson,Tomaz Eriksson,"football forward (born 1967), Djurgårdens IF player 1987–1988"
tommy-eriksson,Tommy Eriksson,"football forward (born 1954), Djurgårdens IF player 1975–1976"
patrik-peo-eriksson-ohlsson,Patrik Eriksson-Ohlsson,"football försvarare (born 1974), Djurgårdens IF player 2002–2003"
owe-eriksson,Owe Eriksson,"football player (born 1938), Djurgårdens IF player 1965–1966"
ake-eriksson,Åke Eriksson,"football player (born 1913), Djurgårdens IF player 1940–1941"
osten-eriksson,Östen Eriksson,"football player (born ), Djurgårdens IF player 1936–1937"
per-olof-erixon,Per-Olof Erixon,"football försvarare (born 1952), Djurgårdens IF player 1976–1977"
arne-erlandsen,Arne Erlandsen,"football försvarare/mittfältare (born 1959), Djurgårdens IF player 1981–1982"
jan-erlandsson,Jan Erlandsson,"football player (born 1941), Djurgårdens IF player 1961–1962"
bengt-eskilsson,Bengt Eskilsson,"football player (born 1943), Djurgårdens IF player 1965–1966"
kaj-eskelinen,Kaj Eskelinen,"football mittfältare (born 1969), Djurgårdens IF player 1996–1997"
marie-ewrelius,Marie Ewrelius,"football back (born 1967), Djurgårdens IF player 1991–1992"
alexander-falk,Alexander Falk,"football back (born 1993), Djurgårdens IF player 2017–2022"
nichlas-falk,Nichlas Falk,"football forward (born 1971), Djurgårdens IF player 2009–2010"
