id,name,desc
225596439,Emil Bergström,Emil Evert Bergström Född: 19 maj 1993 Fotbollsspelare Position: försvarare Moderklubb: Spånga IS Säsonger 5. Matcher 129. 7 mål. 2011 18 0 2012 23 1 2013 29 2 2014 30 2 2015 29 2
225596440,Gerhard Bergström,Gerhard Engelbrekt Bergström Född: 7 november 1875 Medlem: 14 Grundare av Djurgårdens IF
225596441,Jacob Bergström,Anders Jacob Bergström Född: 26 april 1995 Fotbollsspelare Position: anfallare Längd: 191 cm Nummer: 18 Moderklubb: Karlskrona AIF 1 säsonger. n matcher. n mål. 2023
225596442,Johan Bergström,Johan Mikael Bergström Född: 29 oktober 1973 Fotbollsspelare Position: mittfältare Moderklubb: Törnävän Pallo (Finland) 1 säsong. 2 matcher. 0 mål. 1994 1 0
225596443,Pelle Bergström,"Pelle Bergström Född: 14 september 1920 Ledare, ordförande"
225596444,Stefan Bergtoft,Stefan Nils Alexius Bergtoft Född: 24 mars 1979 Fotbollsspelare Position: mittfältare Moderklubb: Kälvesta IoF 7 säsonger. 53 Matcher. 1 mål. 2000 8 0 2001 6 0 2002 10 0 SM-guld. Cupguld. 2003 16 0 SM-guld. 2004 7 1 Cupguld. 2005 2 0 SM-guld. Cupguld
225596445,Lucas Bergvall,Lucas Erik Holger Bergvall Född: 2 februari 2006 Fotbollsspelare Position: mittfältare Längd: 186 cm Nummer: 21 Moderklubb: BP 1 säsonger. n matcher. n mål. 2023
225596446,Theo Bergvall,Theo Andreas Bergvall Född: 21 september 2004 Fotbollsspelare Position: ytterback Längd: 185 cm Nummer: 12 Moderklubb: BP 1 säsonger. n matcher. n mål. 2023
225596447,Oscar Bernadotte,Oscar Bernadotte Född: 12 juli 1921 Ordförande DIF Fäktning
225596448,Daniel Berntsen,Daniel Mikal Aas Berntsen Född: 4 april 1993 Fotbollsspelare Position: Moderklubb: 2 säsonger. 54 matcher. 8 mål. 2015 28 6 2016 26 2
